,group1,group2,signf
402,p07_geocnn_r02,p07_gpcc-octree-predlift_r03,0.0
403,p07_geocnn_r02,p07_gpcc-octree-predlift_r04,0.0
404,p07_geocnn_r02,p07_gpcc-octree-predlift_r05,-1.0
405,p07_geocnn_r02,p07_gpcc-octree-predlift_r06,-1.0
406,p07_geocnn_r02,p07_gpcc-octree-raht_r02,1.0
407,p07_geocnn_r02,p07_gpcc-octree-raht_r03,1.0
408,p07_geocnn_r02,p07_gpcc-octree-raht_r04,0.0
409,p07_geocnn_r02,p07_gpcc-octree-raht_r05,-1.0
410,p07_geocnn_r02,p07_gpcc-octree-raht_r06,-1.0
411,p07_geocnn_r02,p07_vpcc_r00,1.0
412,p07_geocnn_r02,p07_vpcc_r01,1.0
413,p07_geocnn_r02,p07_vpcc_r02,0.0
414,p07_geocnn_r02,p07_vpcc_r03,0.0
415,p07_geocnn_r02,p07_vpcc_r04,0.0
416,p07_geocnn_r02,p07_vpcc_r05,-1.0
417,p07_geocnn_r03,p07_geocnn_r04,0.0
418,p07_geocnn_r03,p07_gpcc-octree-predlift_r02,1.0
419,p07_geocnn_r03,p07_gpcc-octree-predlift_r03,1.0
420,p07_geocnn_r03,p07_gpcc-octree-predlift_r04,0.0
421,p07_geocnn_r03,p07_gpcc-octree-predlift_r05,0.0
422,p07_geocnn_r03,p07_gpcc-octree-predlift_r06,0.0
423,p07_geocnn_r03,p07_gpcc-octree-raht_r02,1.0
424,p07_geocnn_r03,p07_gpcc-octree-raht_r03,1.0
425,p07_geocnn_r03,p07_gpcc-octree-raht_r04,1.0
426,p07_geocnn_r03,p07_gpcc-octree-raht_r05,0.0
427,p07_geocnn_r03,p07_gpcc-octree-raht_r06,0.0
428,p07_geocnn_r03,p07_vpcc_r00,1.0
429,p07_geocnn_r03,p07_vpcc_r01,1.0
430,p07_geocnn_r03,p07_vpcc_r02,1.0
431,p07_geocnn_r03,p07_vpcc_r03,1.0
432,p07_geocnn_r03,p07_vpcc_r04,1.0
433,p07_geocnn_r03,p07_vpcc_r05,0.0
434,p07_geocnn_r04,p07_gpcc-octree-predlift_r02,1.0
435,p07_geocnn_r04,p07_gpcc-octree-predlift_r03,1.0
436,p07_geocnn_r04,p07_gpcc-octree-predlift_r04,0.0
437,p07_geocnn_r04,p07_gpcc-octree-predlift_r05,0.0
438,p07_geocnn_r04,p07_gpcc-octree-predlift_r06,0.0
439,p07_geocnn_r04,p07_gpcc-octree-raht_r02,1.0
440,p07_geocnn_r04,p07_gpcc-octree-raht_r03,1.0
441,p07_geocnn_r04,p07_gpcc-octree-raht_r04,1.0
442,p07_geocnn_r04,p07_gpcc-octree-raht_r05,0.0
443,p07_geocnn_r04,p07_gpcc-octree-raht_r06,0.0
444,p07_geocnn_r04,p07_vpcc_r00,1.0
445,p07_geocnn_r04,p07_vpcc_r01,1.0
446,p07_geocnn_r04,p07_vpcc_r02,1.0
447,p07_geocnn_r04,p07_vpcc_r03,1.0
448,p07_geocnn_r04,p07_vpcc_r04,1.0
449,p07_geocnn_r04,p07_vpcc_r05,0.0
450,p07_gpcc-octree-predlift_r02,p07_gpcc-octree-predlift_r03,-1.0
451,p07_gpcc-octree-predlift_r02,p07_gpcc-octree-predlift_r04,-1.0
452,p07_gpcc-octree-predlift_r02,p07_gpcc-octree-predlift_r05,-1.0
453,p07_gpcc-octree-predlift_r02,p07_gpcc-octree-predlift_r06,-1.0
454,p07_gpcc-octree-predlift_r02,p07_gpcc-octree-raht_r02,0.0
455,p07_gpcc-octree-predlift_r02,p07_gpcc-octree-raht_r03,-1.0
456,p07_gpcc-octree-predlift_r02,p07_gpcc-octree-raht_r04,-1.0
457,p07_gpcc-octree-predlift_r02,p07_gpcc-octree-raht_r05,-1.0
458,p07_gpcc-octree-predlift_r02,p07_gpcc-octree-raht_r06,-1.0
459,p07_gpcc-octree-predlift_r02,p07_vpcc_r00,0.0
460,p07_gpcc-octree-predlift_r02,p07_vpcc_r01,-1.0
461,p07_gpcc-octree-predlift_r02,p07_vpcc_r02,-1.0
462,p07_gpcc-octree-predlift_r02,p07_vpcc_r03,-1.0
463,p07_gpcc-octree-predlift_r02,p07_vpcc_r04,-1.0
464,p07_gpcc-octree-predlift_r02,p07_vpcc_r05,-1.0
465,p07_gpcc-octree-predlift_r03,p07_gpcc-octree-predlift_r04,-1.0
466,p07_gpcc-octree-predlift_r03,p07_gpcc-octree-predlift_r05,-1.0
467,p07_gpcc-octree-predlift_r03,p07_gpcc-octree-predlift_r06,-1.0
468,p07_gpcc-octree-predlift_r03,p07_gpcc-octree-raht_r02,1.0
469,p07_gpcc-octree-predlift_r03,p07_gpcc-octree-raht_r03,0.0
470,p07_gpcc-octree-predlift_r03,p07_gpcc-octree-raht_r04,0.0
471,p07_gpcc-octree-predlift_r03,p07_gpcc-octree-raht_r05,-1.0
472,p07_gpcc-octree-predlift_r03,p07_gpcc-octree-raht_r06,-1.0
473,p07_gpcc-octree-predlift_r03,p07_vpcc_r00,1.0
474,p07_gpcc-octree-predlift_r03,p07_vpcc_r01,1.0
475,p07_gpcc-octree-predlift_r03,p07_vpcc_r02,0.0
476,p07_gpcc-octree-predlift_r03,p07_vpcc_r03,0.0
477,p07_gpcc-octree-predlift_r03,p07_vpcc_r04,-1.0
478,p07_gpcc-octree-predlift_r03,p07_vpcc_r05,-1.0
479,p07_gpcc-octree-predlift_r04,p07_gpcc-octree-predlift_r05,-1.0
480,p07_gpcc-octree-predlift_r04,p07_gpcc-octree-predlift_r06,-1.0
481,p07_gpcc-octree-predlift_r04,p07_gpcc-octree-raht_r02,1.0
482,p07_gpcc-octree-predlift_r04,p07_gpcc-octree-raht_r03,1.0
483,p07_gpcc-octree-predlift_r04,p07_gpcc-octree-raht_r04,0.0
484,p07_gpcc-octree-predlift_r04,p07_gpcc-octree-raht_r05,-1.0
485,p07_gpcc-octree-predlift_r04,p07_gpcc-octree-raht_r06,-1.0
486,p07_gpcc-octree-predlift_r04,p07_vpcc_r00,1.0
487,p07_gpcc-octree-predlift_r04,p07_vpcc_r01,1.0
488,p07_gpcc-octree-predlift_r04,p07_vpcc_r02,1.0
489,p07_gpcc-octree-predlift_r04,p07_vpcc_r03,1.0
490,p07_gpcc-octree-predlift_r04,p07_vpcc_r04,0.0
491,p07_gpcc-octree-predlift_r04,p07_vpcc_r05,0.0
492,p07_gpcc-octree-predlift_r05,p07_gpcc-octree-predlift_r06,0.0
493,p07_gpcc-octree-predlift_r05,p07_gpcc-octree-raht_r02,1.0
494,p07_gpcc-octree-predlift_r05,p07_gpcc-octree-raht_r03,1.0
495,p07_gpcc-octree-predlift_r05,p07_gpcc-octree-raht_r04,1.0
496,p07_gpcc-octree-predlift_r05,p07_gpcc-octree-raht_r05,0.0
497,p07_gpcc-octree-predlift_r05,p07_gpcc-octree-raht_r06,0.0
498,p07_gpcc-octree-predlift_r05,p07_vpcc_r00,1.0
499,p07_gpcc-octree-predlift_r05,p07_vpcc_r01,1.0
500,p07_gpcc-octree-predlift_r05,p07_vpcc_r02,1.0
501,p07_gpcc-octree-predlift_r05,p07_vpcc_r03,1.0
502,p07_gpcc-octree-predlift_r05,p07_vpcc_r04,1.0
503,p07_gpcc-octree-predlift_r05,p07_vpcc_r05,0.0
504,p07_gpcc-octree-predlift_r06,p07_gpcc-octree-raht_r02,1.0
505,p07_gpcc-octree-predlift_r06,p07_gpcc-octree-raht_r03,1.0
506,p07_gpcc-octree-predlift_r06,p07_gpcc-octree-raht_r04,1.0
507,p07_gpcc-octree-predlift_r06,p07_gpcc-octree-raht_r05,0.0
508,p07_gpcc-octree-predlift_r06,p07_gpcc-octree-raht_r06,0.0
509,p07_gpcc-octree-predlift_r06,p07_vpcc_r00,1.0
510,p07_gpcc-octree-predlift_r06,p07_vpcc_r01,1.0
511,p07_gpcc-octree-predlift_r06,p07_vpcc_r02,1.0
512,p07_gpcc-octree-predlift_r06,p07_vpcc_r03,1.0
513,p07_gpcc-octree-predlift_r06,p07_vpcc_r04,1.0
514,p07_gpcc-octree-predlift_r06,p07_vpcc_r05,1.0
515,p07_gpcc-octree-raht_r02,p07_gpcc-octree-raht_r03,-1.0
516,p07_gpcc-octree-raht_r02,p07_gpcc-octree-raht_r04,-1.0
517,p07_gpcc-octree-raht_r02,p07_gpcc-octree-raht_r05,-1.0
518,p07_gpcc-octree-raht_r02,p07_gpcc-octree-raht_r06,-1.0
519,p07_gpcc-octree-raht_r02,p07_vpcc_r00,0.0
520,p07_gpcc-octree-raht_r02,p07_vpcc_r01,-1.0
521,p07_gpcc-octree-raht_r02,p07_vpcc_r02,-1.0
522,p07_gpcc-octree-raht_r02,p07_vpcc_r03,-1.0
523,p07_gpcc-octree-raht_r02,p07_vpcc_r04,-1.0
524,p07_gpcc-octree-raht_r02,p07_vpcc_r05,-1.0
525,p07_gpcc-octree-raht_r03,p07_gpcc-octree-raht_r04,-1.0
526,p07_gpcc-octree-raht_r03,p07_gpcc-octree-raht_r05,-1.0
527,p07_gpcc-octree-raht_r03,p07_gpcc-octree-raht_r06,-1.0
528,p07_gpcc-octree-raht_r03,p07_vpcc_r00,1.0
529,p07_gpcc-octree-raht_r03,p07_vpcc_r01,0.0
530,p07_gpcc-octree-raht_r03,p07_vpcc_r02,0.0
531,p07_gpcc-octree-raht_r03,p07_vpcc_r03,-1.0
532,p07_gpcc-octree-raht_r03,p07_vpcc_r04,-1.0
533,p07_gpcc-octree-raht_r03,p07_vpcc_r05,-1.0
534,p07_gpcc-octree-raht_r04,p07_gpcc-octree-raht_r05,-1.0
535,p07_gpcc-octree-raht_r04,p07_gpcc-octree-raht_r06,-1.0
536,p07_gpcc-octree-raht_r04,p07_vpcc_r00,1.0
537,p07_gpcc-octree-raht_r04,p07_vpcc_r01,1.0
538,p07_gpcc-octree-raht_r04,p07_vpcc_r02,0.0
539,p07_gpcc-octree-raht_r04,p07_vpcc_r03,0.0
540,p07_gpcc-octree-raht_r04,p07_vpcc_r04,0.0
541,p07_gpcc-octree-raht_r04,p07_vpcc_r05,-1.0
542,p07_gpcc-octree-raht_r05,p07_gpcc-octree-raht_r06,0.0
543,p07_gpcc-octree-raht_r05,p07_vpcc_r00,1.0
544,p07_gpcc-octree-raht_r05,p07_vpcc_r01,1.0
545,p07_gpcc-octree-raht_r05,p07_vpcc_r02,1.0
546,p07_gpcc-octree-raht_r05,p07_vpcc_r03,1.0
547,p07_gpcc-octree-raht_r05,p07_vpcc_r04,1.0
548,p07_gpcc-octree-raht_r05,p07_vpcc_r05,0.0
549,p07_gpcc-octree-raht_r06,p07_vpcc_r00,1.0
550,p07_gpcc-octree-raht_r06,p07_vpcc_r01,1.0
551,p07_gpcc-octree-raht_r06,p07_vpcc_r02,1.0
552,p07_gpcc-octree-raht_r06,p07_vpcc_r03,1.0
553,p07_gpcc-octree-raht_r06,p07_vpcc_r04,1.0
554,p07_gpcc-octree-raht_r06,p07_vpcc_r05,1.0
555,p07_vpcc_r00,p07_vpcc_r01,0.0
556,p07_vpcc_r00,p07_vpcc_r02,-1.0
557,p07_vpcc_r00,p07_vpcc_r03,-1.0
558,p07_vpcc_r00,p07_vpcc_r04,-1.0
559,p07_vpcc_r00,p07_vpcc_r05,-1.0
560,p07_vpcc_r01,p07_vpcc_r02,-1.0
561,p07_vpcc_r01,p07_vpcc_r03,-1.0
562,p07_vpcc_r01,p07_vpcc_r04,-1.0
563,p07_vpcc_r01,p07_vpcc_r05,-1.0
564,p07_vpcc_r02,p07_vpcc_r03,0.0
565,p07_vpcc_r02,p07_vpcc_r04,-1.0
566,p07_vpcc_r02,p07_vpcc_r05,-1.0
567,p07_vpcc_r03,p07_vpcc_r04,0.0
568,p07_vpcc_r03,p07_vpcc_r05,-1.0
569,p07_vpcc_r04,p07_vpcc_r05,0.0
570,p12_geocnn_r01,p12_geocnn_r02,-1.0
571,p12_geocnn_r01,p12_geocnn_r03,-1.0
572,p12_geocnn_r01,p12_geocnn_r04,-1.0
573,p12_geocnn_r01,p12_gpcc-octree-predlift_r02,1.0
574,p12_geocnn_r01,p12_gpcc-octree-predlift_r03,1.0
575,p12_geocnn_r01,p12_gpcc-octree-predlift_r04,0.0
576,p12_geocnn_r01,p12_gpcc-octree-predlift_r05,0.0
577,p12_geocnn_r01,p12_gpcc-octree-predlift_r06,-1.0
578,p12_geocnn_r01,p12_gpcc-octree-raht_r02,1.0
579,p12_geocnn_r01,p12_gpcc-octree-raht_r03,1.0
580,p12_geocnn_r01,p12_gpcc-octree-raht_r04,0.0
581,p12_geocnn_r01,p12_gpcc-octree-raht_r05,0.0
582,p12_geocnn_r01,p12_gpcc-octree-raht_r06,-1.0
583,p12_geocnn_r01,p12_vpcc_r00,1.0
584,p12_geocnn_r01,p12_vpcc_r01,1.0
585,p12_geocnn_r01,p12_vpcc_r02,1.0
586,p12_geocnn_r01,p12_vpcc_r03,0.0
587,p12_geocnn_r01,p12_vpcc_r04,-1.0
588,p12_geocnn_r01,p12_vpcc_r05,-1.0
589,p12_geocnn_r02,p12_geocnn_r03,0.0
590,p12_geocnn_r02,p12_geocnn_r04,0.0
591,p12_geocnn_r02,p12_gpcc-octree-predlift_r02,1.0
592,p12_geocnn_r02,p12_gpcc-octree-predlift_r03,1.0
593,p12_geocnn_r02,p12_gpcc-octree-predlift_r04,0.0
594,p12_geocnn_r02,p12_gpcc-octree-predlift_r05,0.0
595,p12_geocnn_r02,p12_gpcc-octree-predlift_r06,0.0
596,p12_geocnn_r02,p12_gpcc-octree-raht_r02,1.0
597,p12_geocnn_r02,p12_gpcc-octree-raht_r03,1.0
598,p12_geocnn_r02,p12_gpcc-octree-raht_r04,0.0
599,p12_geocnn_r02,p12_gpcc-octree-raht_r05,0.0
600,p12_geocnn_r02,p12_gpcc-octree-raht_r06,0.0
601,p12_geocnn_r02,p12_vpcc_r00,1.0
602,p12_geocnn_r02,p12_vpcc_r01,1.0
603,p12_geocnn_r02,p12_vpcc_r02,1.0
604,p12_geocnn_r02,p12_vpcc_r03,0.0
605,p12_geocnn_r02,p12_vpcc_r04,0.0
606,p12_geocnn_r02,p12_vpcc_r05,0.0
607,p12_geocnn_r03,p12_geocnn_r04,0.0
608,p12_geocnn_r03,p12_gpcc-octree-predlift_r02,1.0
609,p12_geocnn_r03,p12_gpcc-octree-predlift_r03,1.0
610,p12_geocnn_r03,p12_gpcc-octree-predlift_r04,0.0
611,p12_geocnn_r03,p12_gpcc-octree-predlift_r05,0.0
612,p12_geocnn_r03,p12_gpcc-octree-predlift_r06,0.0
613,p12_geocnn_r03,p12_gpcc-octree-raht_r02,1.0
614,p12_geocnn_r03,p12_gpcc-octree-raht_r03,1.0
615,p12_geocnn_r03,p12_gpcc-octree-raht_r04,1.0
616,p12_geocnn_r03,p12_gpcc-octree-raht_r05,0.0
617,p12_geocnn_r03,p12_gpcc-octree-raht_r06,0.0
618,p12_geocnn_r03,p12_vpcc_r00,1.0
619,p12_geocnn_r03,p12_vpcc_r01,1.0
620,p12_geocnn_r03,p12_vpcc_r02,1.0
621,p12_geocnn_r03,p12_vpcc_r03,1.0
622,p12_geocnn_r03,p12_vpcc_r04,0.0
623,p12_geocnn_r03,p12_vpcc_r05,0.0
624,p12_geocnn_r04,p12_gpcc-octree-predlift_r02,1.0
625,p12_geocnn_r04,p12_gpcc-octree-predlift_r03,1.0
626,p12_geocnn_r04,p12_gpcc-octree-predlift_r04,0.0
627,p12_geocnn_r04,p12_gpcc-octree-predlift_r05,0.0
628,p12_geocnn_r04,p12_gpcc-octree-predlift_r06,0.0
629,p12_geocnn_r04,p12_gpcc-octree-raht_r02,1.0
630,p12_geocnn_r04,p12_gpcc-octree-raht_r03,1.0
631,p12_geocnn_r04,p12_gpcc-octree-raht_r04,1.0
632,p12_geocnn_r04,p12_gpcc-octree-raht_r05,0.0
633,p12_geocnn_r04,p12_gpcc-octree-raht_r06,0.0
634,p12_geocnn_r04,p12_vpcc_r00,1.0
635,p12_geocnn_r04,p12_vpcc_r01,1.0
636,p12_geocnn_r04,p12_vpcc_r02,1.0
637,p12_geocnn_r04,p12_vpcc_r03,0.0
638,p12_geocnn_r04,p12_vpcc_r04,0.0
639,p12_geocnn_r04,p12_vpcc_r05,0.0
640,p12_gpcc-octree-predlift_r02,p12_gpcc-octree-predlift_r03,-1.0
641,p12_gpcc-octree-predlift_r02,p12_gpcc-octree-predlift_r04,-1.0
642,p12_gpcc-octree-predlift_r02,p12_gpcc-octree-predlift_r05,-1.0
643,p12_gpcc-octree-predlift_r02,p12_gpcc-octree-predlift_r06,-1.0
644,p12_gpcc-octree-predlift_r02,p12_gpcc-octree-raht_r02,0.0
645,p12_gpcc-octree-predlift_r02,p12_gpcc-octree-raht_r03,-1.0
646,p12_gpcc-octree-predlift_r02,p12_gpcc-octree-raht_r04,-1.0
647,p12_gpcc-octree-predlift_r02,p12_gpcc-octree-raht_r05,-1.0
648,p12_gpcc-octree-predlift_r02,p12_gpcc-octree-raht_r06,-1.0
649,p12_gpcc-octree-predlift_r02,p12_vpcc_r00,0.0
650,p12_gpcc-octree-predlift_r02,p12_vpcc_r01,-1.0
651,p12_gpcc-octree-predlift_r02,p12_vpcc_r02,-1.0
652,p12_gpcc-octree-predlift_r02,p12_vpcc_r03,-1.0
653,p12_gpcc-octree-predlift_r02,p12_vpcc_r04,-1.0
654,p12_gpcc-octree-predlift_r02,p12_vpcc_r05,-1.0
655,p12_gpcc-octree-predlift_r03,p12_gpcc-octree-predlift_r04,-1.0
656,p12_gpcc-octree-predlift_r03,p12_gpcc-octree-predlift_r05,-1.0
657,p12_gpcc-octree-predlift_r03,p12_gpcc-octree-predlift_r06,-1.0
658,p12_gpcc-octree-predlift_r03,p12_gpcc-octree-raht_r02,1.0
659,p12_gpcc-octree-predlift_r03,p12_gpcc-octree-raht_r03,0.0
660,p12_gpcc-octree-predlift_r03,p12_gpcc-octree-raht_r04,-1.0
661,p12_gpcc-octree-predlift_r03,p12_gpcc-octree-raht_r05,-1.0
662,p12_gpcc-octree-predlift_r03,p12_gpcc-octree-raht_r06,-1.0
663,p12_gpcc-octree-predlift_r03,p12_vpcc_r00,1.0
664,p12_gpcc-octree-predlift_r03,p12_vpcc_r01,0.0
665,p12_gpcc-octree-predlift_r03,p12_vpcc_r02,-1.0
666,p12_gpcc-octree-predlift_r03,p12_vpcc_r03,-1.0
667,p12_gpcc-octree-predlift_r03,p12_vpcc_r04,-1.0
668,p12_gpcc-octree-predlift_r03,p12_vpcc_r05,-1.0
669,p12_gpcc-octree-predlift_r04,p12_gpcc-octree-predlift_r05,0.0
670,p12_gpcc-octree-predlift_r04,p12_gpcc-octree-predlift_r06,0.0
671,p12_gpcc-octree-predlift_r04,p12_gpcc-octree-raht_r02,1.0
672,p12_gpcc-octree-predlift_r04,p12_gpcc-octree-raht_r03,1.0
673,p12_gpcc-octree-predlift_r04,p12_gpcc-octree-raht_r04,0.0
674,p12_gpcc-octree-predlift_r04,p12_gpcc-octree-raht_r05,0.0
675,p12_gpcc-octree-predlift_r04,p12_gpcc-octree-raht_r06,0.0
676,p12_gpcc-octree-predlift_r04,p12_vpcc_r00,1.0
677,p12_gpcc-octree-predlift_r04,p12_vpcc_r01,1.0
678,p12_gpcc-octree-predlift_r04,p12_vpcc_r02,1.0
679,p12_gpcc-octree-predlift_r04,p12_vpcc_r03,0.0
680,p12_gpcc-octree-predlift_r04,p12_vpcc_r04,0.0
681,p12_gpcc-octree-predlift_r04,p12_vpcc_r05,0.0
682,p12_gpcc-octree-predlift_r05,p12_gpcc-octree-predlift_r06,0.0
683,p12_gpcc-octree-predlift_r05,p12_gpcc-octree-raht_r02,1.0
684,p12_gpcc-octree-predlift_r05,p12_gpcc-octree-raht_r03,1.0
685,p12_gpcc-octree-predlift_r05,p12_gpcc-octree-raht_r04,0.0
686,p12_gpcc-octree-predlift_r05,p12_gpcc-octree-raht_r05,0.0
687,p12_gpcc-octree-predlift_r05,p12_gpcc-octree-raht_r06,0.0
688,p12_gpcc-octree-predlift_r05,p12_vpcc_r00,1.0
689,p12_gpcc-octree-predlift_r05,p12_vpcc_r01,1.0
690,p12_gpcc-octree-predlift_r05,p12_vpcc_r02,1.0
691,p12_gpcc-octree-predlift_r05,p12_vpcc_r03,0.0
692,p12_gpcc-octree-predlift_r05,p12_vpcc_r04,0.0
693,p12_gpcc-octree-predlift_r05,p12_vpcc_r05,0.0
694,p12_gpcc-octree-predlift_r06,p12_gpcc-octree-raht_r02,1.0
695,p12_gpcc-octree-predlift_r06,p12_gpcc-octree-raht_r03,1.0
696,p12_gpcc-octree-predlift_r06,p12_gpcc-octree-raht_r04,1.0
697,p12_gpcc-octree-predlift_r06,p12_gpcc-octree-raht_r05,0.0
698,p12_gpcc-octree-predlift_r06,p12_gpcc-octree-raht_r06,0.0
699,p12_gpcc-octree-predlift_r06,p12_vpcc_r00,1.0
700,p12_gpcc-octree-predlift_r06,p12_vpcc_r01,1.0
701,p12_gpcc-octree-predlift_r06,p12_vpcc_r02,1.0
702,p12_gpcc-octree-predlift_r06,p12_vpcc_r03,0.0
703,p12_gpcc-octree-predlift_r06,p12_vpcc_r04,0.0
704,p12_gpcc-octree-predlift_r06,p12_vpcc_r05,0.0
705,p12_gpcc-octree-raht_r02,p12_gpcc-octree-raht_r03,-1.0
706,p12_gpcc-octree-raht_r02,p12_gpcc-octree-raht_r04,-1.0
707,p12_gpcc-octree-raht_r02,p12_gpcc-octree-raht_r05,-1.0
708,p12_gpcc-octree-raht_r02,p12_gpcc-octree-raht_r06,-1.0
709,p12_gpcc-octree-raht_r02,p12_vpcc_r00,0.0
710,p12_gpcc-octree-raht_r02,p12_vpcc_r01,-1.0
711,p12_gpcc-octree-raht_r02,p12_vpcc_r02,-1.0
712,p12_gpcc-octree-raht_r02,p12_vpcc_r03,-1.0
713,p12_gpcc-octree-raht_r02,p12_vpcc_r04,-1.0
714,p12_gpcc-octree-raht_r02,p12_vpcc_r05,-1.0
715,p12_gpcc-octree-raht_r03,p12_gpcc-octree-raht_r04,-1.0
716,p12_gpcc-octree-raht_r03,p12_gpcc-octree-raht_r05,-1.0
717,p12_gpcc-octree-raht_r03,p12_gpcc-octree-raht_r06,-1.0
718,p12_gpcc-octree-raht_r03,p12_vpcc_r00,1.0
719,p12_gpcc-octree-raht_r03,p12_vpcc_r01,0.0
720,p12_gpcc-octree-raht_r03,p12_vpcc_r02,-1.0
721,p12_gpcc-octree-raht_r03,p12_vpcc_r03,-1.0
722,p12_gpcc-octree-raht_r03,p12_vpcc_r04,-1.0
723,p12_gpcc-octree-raht_r03,p12_vpcc_r05,-1.0
724,p12_gpcc-octree-raht_r04,p12_gpcc-octree-raht_r05,0.0
725,p12_gpcc-octree-raht_r04,p12_gpcc-octree-raht_r06,-1.0
726,p12_gpcc-octree-raht_r04,p12_vpcc_r00,1.0
727,p12_gpcc-octree-raht_r04,p12_vpcc_r01,1.0
728,p12_gpcc-octree-raht_r04,p12_vpcc_r02,1.0
729,p12_gpcc-octree-raht_r04,p12_vpcc_r03,0.0
730,p12_gpcc-octree-raht_r04,p12_vpcc_r04,-1.0
731,p12_gpcc-octree-raht_r04,p12_vpcc_r05,-1.0
732,p12_gpcc-octree-raht_r05,p12_gpcc-octree-raht_r06,0.0
733,p12_gpcc-octree-raht_r05,p12_vpcc_r00,1.0
734,p12_gpcc-octree-raht_r05,p12_vpcc_r01,1.0
735,p12_gpcc-octree-raht_r05,p12_vpcc_r02,1.0
736,p12_gpcc-octree-raht_r05,p12_vpcc_r03,0.0
737,p12_gpcc-octree-raht_r05,p12_vpcc_r04,0.0
738,p12_gpcc-octree-raht_r05,p12_vpcc_r05,0.0
739,p12_gpcc-octree-raht_r06,p12_vpcc_r00,1.0
740,p12_gpcc-octree-raht_r06,p12_vpcc_r01,1.0
741,p12_gpcc-octree-raht_r06,p12_vpcc_r02,1.0
742,p12_gpcc-octree-raht_r06,p12_vpcc_r03,0.0
743,p12_gpcc-octree-raht_r06,p12_vpcc_r04,0.0
744,p12_gpcc-octree-raht_r06,p12_vpcc_r05,0.0
745,p12_vpcc_r00,p12_vpcc_r01,-1.0
746,p12_vpcc_r00,p12_vpcc_r02,-1.0
747,p12_vpcc_r00,p12_vpcc_r03,-1.0
748,p12_vpcc_r00,p12_vpcc_r04,-1.0
749,p12_vpcc_r00,p12_vpcc_r05,-1.0
750,p12_vpcc_r01,p12_vpcc_r02,-1.0
751,p12_vpcc_r01,p12_vpcc_r03,-1.0
752,p12_vpcc_r01,p12_vpcc_r04,-1.0
753,p12_vpcc_r01,p12_vpcc_r05,-1.0
754,p12_vpcc_r02,p12_vpcc_r03,-1.0
755,p12_vpcc_r02,p12_vpcc_r04,-1.0
756,p12_vpcc_r02,p12_vpcc_r05,-1.0
757,p12_vpcc_r03,p12_vpcc_r04,-1.0
758,p12_vpcc_r03,p12_vpcc_r05,0.0
759,p12_vpcc_r04,p12_vpcc_r05,0.0
760,p19_geocnn_r01,p19_geocnn_r02,0.0
761,p19_geocnn_r01,p19_geocnn_r03,0.0
762,p19_geocnn_r01,p19_geocnn_r04,0.0
763,p19_geocnn_r01,p19_gpcc-octree-predlift_r02,1.0
764,p19_geocnn_r01,p19_gpcc-octree-predlift_r03,1.0
765,p19_geocnn_r01,p19_gpcc-octree-predlift_r04,0.0
766,p19_geocnn_r01,p19_gpcc-octree-predlift_r05,0.0
767,p19_geocnn_r01,p19_gpcc-octree-predlift_r06,0.0
768,p19_geocnn_r01,p19_gpcc-octree-raht_r02,1.0
769,p19_geocnn_r01,p19_gpcc-octree-raht_r03,1.0
770,p19_geocnn_r01,p19_gpcc-octree-raht_r04,0.0
771,p19_geocnn_r01,p19_gpcc-octree-raht_r05,0.0
772,p19_geocnn_r01,p19_gpcc-octree-raht_r06,0.0
773,p19_geocnn_r01,p19_vpcc_r00,1.0
774,p19_geocnn_r01,p19_vpcc_r01,1.0
775,p19_geocnn_r01,p19_vpcc_r02,1.0
776,p19_geocnn_r01,p19_vpcc_r03,0.0
777,p19_geocnn_r01,p19_vpcc_r04,0.0
778,p19_geocnn_r01,p19_vpcc_r05,0.0
779,p19_geocnn_r02,p19_geocnn_r03,0.0
780,p19_geocnn_r02,p19_geocnn_r04,0.0
781,p19_geocnn_r02,p19_gpcc-octree-predlift_r02,1.0
782,p19_geocnn_r02,p19_gpcc-octree-predlift_r03,1.0
783,p19_geocnn_r02,p19_gpcc-octree-predlift_r04,0.0
784,p19_geocnn_r02,p19_gpcc-octree-predlift_r05,0.0
785,p19_geocnn_r02,p19_gpcc-octree-predlift_r06,0.0
786,p19_geocnn_r02,p19_gpcc-octree-raht_r02,1.0
787,p19_geocnn_r02,p19_gpcc-octree-raht_r03,1.0
788,p19_geocnn_r02,p19_gpcc-octree-raht_r04,1.0
789,p19_geocnn_r02,p19_gpcc-octree-raht_r05,0.0
790,p19_geocnn_r02,p19_gpcc-octree-raht_r06,0.0
791,p19_geocnn_r02,p19_vpcc_r00,1.0
792,p19_geocnn_r02,p19_vpcc_r01,1.0
793,p19_geocnn_r02,p19_vpcc_r02,1.0
794,p19_geocnn_r02,p19_vpcc_r03,0.0
795,p19_geocnn_r02,p19_vpcc_r04,0.0
796,p19_geocnn_r02,p19_vpcc_r05,0.0
797,p19_geocnn_r03,p19_geocnn_r04,0.0
798,p19_geocnn_r03,p19_gpcc-octree-predlift_r02,1.0
799,p19_geocnn_r03,p19_gpcc-octree-predlift_r03,1.0
800,p19_geocnn_r03,p19_gpcc-octree-predlift_r04,0.0
801,p19_geocnn_r03,p19_gpcc-octree-predlift_r05,0.0
802,p19_geocnn_r03,p19_gpcc-octree-predlift_r06,0.0
803,p19_geocnn_r03,p19_gpcc-octree-raht_r02,1.0
804,p19_geocnn_r03,p19_gpcc-octree-raht_r03,1.0
